
running 75 tests
command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "test" "." "-M20" "-C1"
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_129_context\16

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_129_matches stdout ----

thread 'feature_129_matches' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "test" "." "-M26"
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_129_matches\17

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_129_replace stdout ----

thread 'feature_129_replace' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "test" "." "-M26" "-rfoo"
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_129_replace\18

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_159_works stdout ----

thread 'feature_159_works' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "test" "." "-m1"
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_159_works\19

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_1_eucjp stdout ----

thread 'feature_1_eucjp' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "Шерлок Холмс" "." "-Eeuc-jp"
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_1_eucjp\21

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_1_sjis stdout ----

thread 'feature_1_sjis' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "Шерлок Холмс" "." "-Esjis"
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_1_sjis\23

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_1_utf16_auto stdout ----

thread 'feature_1_utf16_auto' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "Шерлок Холмс" "."
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_1_utf16_auto\25

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_1_utf16_explicit stdout ----

thread 'feature_1_utf16_explicit' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "Шерлок Холмс" "." "-Eutf-16le"
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_1_utf16_explicit\26

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_20_no_filename stdout ----

thread 'feature_20_no_filename' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "Sherlock" "." "--no-filename"
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_20_no_filename\27

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_243_column_line stdout ----

thread 'feature_243_column_line' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "test" "." "--column"
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_243_column_line\28

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_275_pathsep stdout ----

thread 'feature_275_pathsep' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "test" "." "--path-separator" "Z"
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_275_pathsep\30

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_34_only_matching stdout ----

